호선명,지하철역,"06시-07시 승차인원","07시-08시 승차인원","08시-09시 승차인원","08시-09시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 하차인원","20시-21시 하차인원"
1호선,동대문,9378,15750,23360,19089,26155,25202,23153,16721
1호선,동묘앞,3841,8804,14941,22749,19701,12906,9486,7046
1호선,서울역,31425,99842,170325,249092,260064,194288,130299,94357
1호선,시청,3982,7600,11176,208161,168091,28989,14485,9638
1호선,신설동,10049,22452,33894,52612,51781,32707,23661,16967
1호선,제기동,9059,21182,32137,36918,35150,26483,17704,11986
1호선,종각,4347,7038,11249,266497,222056,54522,26043,14056
1호선,종로3가,4504,7553,11582,62381,92277,42677,22027,13314
1호선,종로5가,3221,6319,11399,88413,90880,33581,19878,10977
1호선,청량리(서울시립대입구),18115,48856,60269,39663,46038,62418,39195,25296
2호선,강남,18045,40323,62970,316852,318675,184086,107908,63010
2호선,강변(동서울터미널),21231,62627,99353,40355,57256,93375,63638,45818
2호선,건대입구,22259,54973,93707,62070,94649,156170,108071,70283
2호선,교대(법원.검찰청),10693,25272,36236,155165,132112,72198,41306,26412
2호선,구로디지털단지,52517,137270,186812,216771,197998,163712,128306,88498
2호선,구의(광진구청),28426,75892,125408,47272,53851,110457,78540,53750
2호선,낙성대(강감찬),26885,82805,126800,40596,52069,101530,85531,56871
2호선,당산,18767,46651,59159,76052,56370,75165,50570,35633
2호선,대림(구로구청),30236,66303,97084,52416,48329,68846,51730,40448
2호선,도림천,1402,3530,3580,6944,3610,3429,2591,1841
2호선,동대문역사문화공원(DDP),3875,7502,13876,45749,48976,42481,36885,26638
2호선,뚝섬,8911,19059,26914,134761,136602,50580,29121,17129
2호선,문래,14960,43424,50721,131615,110223,67894,43268,24423
2호선,방배,8965,21464,30761,75884,62171,36881,25657,17305
2호선,봉천,29649,84146,123148,27675,33589,92395,74962,47665
2호선,사당,30624,79691,105621,73020,103299,185062,125164,78324
2호선,삼성(무역센터),7047,14025,20513,312150,296379,69780,37343,20915
2호선,상왕십리,14164,41234,65600,29235,26559,56738,37660,25287
2호선,서울대입구(관악구청),45141,123369,177399,71067,94283,169089,138270,88989
2호선,서초,9107,18325,29527,115481,92096,29874,20592,12775
2호선,선릉,11706,22785,37331,282874,288664,61599,39445,25541
2호선,성수,8602,20670,27487,247098,295524,103131,58059,28467
2호선,시청,2306,5127,9569,223739,177012,25116,13284,9017
2호선,신답,2105,6612,11561,1722,2119,10564,7231,3978
2호선,신당,11326,30453,54107,29707,32380,60317,39484,25242
2호선,신대방,33890,88546,129263,24451,30626,91176,76696,54735
2호선,신도림,55878,136183,148563,102968,114928,168775,116156,74941
2호선,신림,68747,180881,271344,44675,78431,223305,193988,130683
2호선,신설동,1627,5110,9973,13447,12321,7864,5987,4659
2호선,신정네거리,18296,49600,46057,11737,11549,48726,34114,20512
2호선,신촌,14431,36422,54637,85661,105544,121763,80293,52386
2호선,아현,11342,31776,45827,20019,19684,36928,26633,19062
2호선,양천구청,12122,31867,30496,9189,9062,30649,23809,14558
2호선,역삼,8961,15906,26556,348860,263178,60983,36553,23744
2호선,영등포구청,13389,40070,53197,123569,102203,62387,40624,25672
2호선,왕십리(성동구청),9978,27133,48471,28849,37172,59544,36580,25065
2호선,용답,3359,7827,13907,3353,4424,11799,7531,5850
2호선,용두(동대문구청),1787,5808,9800,5264,5561,9409,6131,3717
2호선,을지로3가,2835,7133,14944,165268,137204,48672,30089,19687
2호선,을지로4가,2633,6332,13401,74810,68198,21811,15483,11665
2호선,을지로입구,5019,11597,19990,326969,282025,89122,55995,37768
2호선,이대,9549,28211,40148,47479,49253,53090,37426,27050
2호선,잠실(송파구청),50704,120158,162580,169995,242489,253247,163796,107583
2호선,잠실나루,13259,38317,48843,38766,30449,43027,29834,19482
2호선,잠실새내,18661,61383,86511,31163,43076,89089,60127,37975
2호선,종합운동장,6361,16642,23055,31335,23188,41317,19069,11948
2호선,충정로(경기대입구),6331,15823,23766,60847,45582,23617,15368,11445
2호선,한양대,2809,6116,10135,69741,48710,22050,11333,7586
2호선,합정,17540,38620,51398,90138,113728,120309,79044,46095
2호선,홍대입구,30994,61271,81471,110048,214556,253459,178375,112214
3호선,가락시장,7712,21571,23961,25366,26409,28926,19226,12762
3호선,경복궁(정부서울청사),6327,13958,22159,136768,129589,40274,22477,13891
3호선,경찰병원,8543,23812,26725,26204,18827,22464,16946,10806
3호선,고속터미널,8119,25514,49757,80059,146253,128011,80195,52644
3호선,교대(법원.검찰청),4786,12551,16370,48938,72751,21116,11286,6468
3호선,구파발,33785,82609,82003,32174,32649,77782,61777,36883
3호선,금호,10664,27059,37834,9387,11702,31090,22275,15648
3호선,남부터미널(예술의전당),9297,29108,46786,150659,136330,68279,42986,27243
3호선,녹번,24402,68815,76766,16237,19254,62800,49314,31198
3호선,대청,12235,31351,39453,28254,27647,31963,24359,17644
3호선,대치,13117,30697,31328,28369,29983,34808,24682,15028
3호선,도곡,4769,12478,16252,21634,18494,13912,10269,6621
3호선,독립문,6336,16153,20951,23506,16858,19247,14703,9938
3호선,동대입구,3191,5221,9021,65104,49515,27996,11485,6470
